Date,Active_Cases,Close
30-01-2020,1,12035.8
31-01-2020,1,11962.1
01-02-2020,2,11661.85
03-02-2020,3,11707.9
04-02-2020,3,11979.65
05-02-2020,3,12089.15
06-02-2020,3,12137.95
07-02-2020,3,12098.35
10-02-2020,3,12031.5
11-02-2020,3,12107.9
12-02-2020,3,12201.2
13-02-2020,3,12174.65
14-02-2020,3,12113.45
17-02-2020,3,12045.8
18-02-2020,3,11992.5
19-02-2020,3,12125.9
20-02-2020,3,12080.85
24-02-2020,3,11829.4
25-02-2020,3,11797.9
26-02-2020,3,11678.5
27-02-2020,3,11633.3
28-02-2020,3,11201.75
02-03-2020,5,11132.75
03-03-2020,3,11303.3
04-03-2020,25,11251
05-03-2020,27,11269
06-03-2020,28,10989.45
09-03-2020,43,10451.45
11-03-2020,57,10458.4
12-03-2020,71,9590.15
13-03-2020,77,9955.2
16-03-2020,99,9197.4
17-03-2020,120,8967.05
18-03-2020,134,8468.8
19-03-2020,149,8263.45
20-03-2020,196,8745.45
23-03-2020,402,7610.25
24-03-2020,470,7801.05
25-03-2020,553,8317.85
26-03-2020,634,8641.45
27-03-2020,640,8660.25
30-03-2020,1118,8281.1
31-03-2020,1238,8597.75
01-04-2020,1649,8253.8
03-04-2020,2322,8083.8
07-04-2020,4312,8792.2
08-04-2020,4714,8748.75
09-04-2020,5218,9111.9
13-04-2020,8048,8993.85
15-04-2020,10197,8925.3
16-04-2020,10824,8992.8
17-04-2020,11616,9266.75
20-04-2020,14255,9261.85
21-04-2020,15122,8981.45
22-04-2020,15859,9187.3
23-04-2020,16689,9313.9
24-04-2020,17915,9154.4
27-04-2020,20912,9282.3
28-04-2020,21870,9380.9
29-04-2020,22904,9553.35
30-04-2020,23882,9859.9
04-05-2020,29685,9293.5
05-05-2020,31967,9205.6
06-05-2020,33514,9270.9
07-05-2020,35902,9199.05
08-05-2020,37916,9251.5
11-05-2020,44029,9239.2
12-05-2020,46008,9196.55
13-05-2020,47480,9383.55
14-05-2020,49219,9142.75
15-05-2020,51401,9136.85
18-05-2020,55906,8823.25
19-05-2020,57988,8879.1
20-05-2020,61149,9066.55
21-05-2020,63624,9106.25
22-05-2020,66330,9039.25
26-05-2020,80722,9029.05
27-05-2020,83004,9314.95
28-05-2020,86110,9490.1
29-05-2020,89987,9580.3
01-06-2020,93322,9826.15
02-06-2020,97581,9979.1
03-06-2020,101497,10061.55
04-06-2020,106737,10029.1
05-06-2020,110960,10142.15
08-06-2020,125381,10167.45
09-06-2020,129917,10046.65
10-06-2020,133632,10116.15
11-06-2020,137448,9902
12-06-2020,141842,9972.9
15-06-2020,153106,9813.7
16-06-2020,153178,9914
17-06-2020,155227,9881.15
18-06-2020,160384,10091.65
19-06-2020,163248,10244.4
22-06-2020,174387,10311.2
23-06-2020,178014,10471
24-06-2020,183022,10305.3
25-06-2020,186514,10288.9
26-06-2020,189463,10383
29-06-2020,210120,10312.4
30-06-2020,215125,10302.1
01-07-2020,220114,10430.05
02-07-2020,226947,10551.7
03-07-2020,227439,10607.35
06-07-2020,253287,10763.65
07-07-2020,259557,10799.65
08-07-2020,264944,10705.75
09-07-2020,269789,10813.45
10-07-2020,276682,10768.05
13-07-2020,301609,10802.7
14-07-2020,311565,10607.35
15-07-2020,319840,10618.2
16-07-2020,331146,10739.95
17-07-2020,342473,10901.7
20-07-2020,390459,11022.2
21-07-2020,402529,11162.25
22-07-2020,411133,11132.6
23-07-2020,426167,11215.45
24-07-2020,440135,11194.15
27-07-2020,485114,11131.8
28-07-2020,496988,11300.55
29-07-2020,509447,11202.85
30-07-2020,528242,11102.15
31-07-2020,545318,11073.45
03-08-2020,579357,10891.6
04-08-2020,586298,11095.25
05-08-2020,586244,11101.65
06-08-2020,595501,11200.15
07-08-2020,607384,11214.05
10-08-2020,634945,11270.15
11-08-2020,639929,11322.5
12-08-2020,643948,11308.4
13-08-2020,653622,11300.45
